PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,,,,,,
MANCHESTER CCG,21: Appliances,69.62566,,MANCHESTER CCG,23: Stoma Appliances,339.03698,,MANCHESTER CCG,22: Incontinence Appliances,62.52365,,,,MANCHESTER CCG,21: Appliances,87.62775,,MANCHESTER CCG,23: Stoma Appliances,44.3541,,22: Incontinence Appliances,40.76814
MANCHESTER CCG,21: Appliances,8.2082,,MANCHESTER CCG,23: Stoma Appliances,12.64231,,MANCHESTER CCG,22: Incontinence Appliances,146.26965,,,,MANCHESTER CCG,21: Appliances,156.95315,,MANCHESTER CCG,23: Stoma Appliances,100.10863,,22: Incontinence Appliances,49.52346
MANCHESTER CCG,21: Appliances,51.90783,,MANCHESTER CCG,23: Stoma Appliances,169.51849,,MANCHESTER CCG,22: Incontinence Appliances,28.91928,,,,MANCHESTER CCG,21: Appliances,20.90101,,MANCHESTER CCG,23: Stoma Appliances,110.65239,,22: Incontinence Appliances,148.57039
MANCHESTER CCG,21: Appliances,172.57992,,MANCHESTER CCG,23: Stoma Appliances,74.45948,,MANCHESTER CCG,22: Incontinence Appliances,98.29395,,,,MANCHESTER CCG,21: Appliances,474.55717,,MANCHESTER CCG,23: Stoma Appliances,177.41639,,22: Incontinence Appliances,34.28547
MANCHESTER CCG,21: Appliances,109.05851,,MANCHESTER CCG,23: Stoma Appliances,149.69981,,MANCHESTER CCG,22: Incontinence Appliances,57.9873,,,,MANCHESTER CCG,21: Appliances,101.5245,,MANCHESTER CCG,23: Stoma Appliances,130.75238,,22: Incontinence Appliances,99.04693
MANCHESTER CCG,21: Appliances,309.60643,,MANCHESTER CCG,23: Stoma Appliances,135.61665,,MANCHESTER CCG,22: Incontinence Appliances,11.65695,,,,MANCHESTER CCG,21: Appliances,6.98872,,MANCHESTER CCG,23: Stoma Appliances,175.40453,,22: Incontinence Appliances,12.35059
MANCHESTER CCG,21: Appliances,49.24923,,MANCHESTER CCG,23: Stoma Appliances,95.16126,,MANCHESTER CCG,22: Incontinence Appliances,24.30856,,,,MANCHESTER CCG,21: Appliances,0.8569,,MANCHESTER CCG,23: Stoma Appliances,526.21358,,22: Incontinence Appliances,41.99761
MANCHESTER CCG,21: Appliances,49.9743,,MANCHESTER CCG,23: Stoma Appliances,18.12684,,MANCHESTER CCG,22: Incontinence Appliances,68.93777,,,,MANCHESTER CCG,21: Appliances,5.11348,,MANCHESTER CCG,23: Stoma Appliances,9.91028,,22: Incontinence Appliances,153.65593
MANCHESTER CCG,21: Appliances,5.87806,,MANCHESTER CCG,23: Stoma Appliances,51.21994,,MANCHESTER CCG,22: Incontinence Appliances,17.23444,,,,MANCHESTER CCG,21: Appliances,317.2594,,MANCHESTER CCG,23: Stoma Appliances,44.10261,,22: Incontinence Appliances,49.52346
MANCHESTER CCG,21: Appliances,96.37901,,MANCHESTER CCG,23: Stoma Appliances,250.5687,,MANCHESTER CCG,22: Incontinence Appliances,49.80698,,,,MANCHESTER CCG,21: Appliances,36.92139,,MANCHESTER CCG,23: Stoma Appliances,9.97857,,22: Incontinence Appliances,74.94185
MANCHESTER CCG,21: Appliances,195.62114,,MANCHESTER CCG,23: Stoma Appliances,188.57491,,MANCHESTER CCG,22: Incontinence Appliances,7.04623,,,,MANCHESTER CCG,21: Appliances,12.85356,,MANCHESTER CCG,23: Stoma Appliances,85.83011,,22: Incontinence Appliances,19.448
MANCHESTER CCG,21: Appliances,11.78709,,MANCHESTER CCG,23: Stoma Appliances,42.75145,,MANCHESTER CCG,22: Incontinence Appliances,56.66729,,,,MANCHESTER CCG,21: Appliances,40.90785,,MANCHESTER CCG,23: Stoma Appliances,130.75238,,22: Incontinence Appliances,2.0398
MANCHESTER CCG,21: Appliances,68.88199,,MANCHESTER CCG,23: Stoma Appliances,5.56511,,MANCHESTER CCG,22: Incontinence Appliances,60.73886,,,,MANCHESTER CCG,21: Appliances,37.21944,,MANCHESTER CCG,23: Stoma Appliances,177.45348,,22: Incontinence Appliances,69.29746
MANCHESTER CCG,21: Appliances,92.82801,,MANCHESTER CCG,23: Stoma Appliances,6.15693,,MANCHESTER CCG,22: Incontinence Appliances,7.04623,,,,MANCHESTER CCG,21: Appliances,49.49552,,MANCHESTER CCG,23: Stoma Appliances,203.75676,,22: Incontinence Appliances,641.98877
MANCHESTER CCG,21: Appliances,51.59178,,MANCHESTER CCG,23: Stoma Appliances,6.03609,,MANCHESTER CCG,22: Incontinence Appliances,33.35339,,,,MANCHESTER CCG,21: Appliances,11.0373,,MANCHESTER CCG,23: Stoma Appliances,2.99294,,22: Incontinence Appliances,5.8493
MANCHESTER CCG,21: Appliances,10.33695,,MANCHESTER CCG,23: Stoma Appliances,37.00976,,MANCHESTER CCG,22: Incontinence Appliances,48.75655,,,,MANCHESTER CCG,21: Appliances,7.30848,,MANCHESTER CCG,23: Stoma Appliances,3.58596,,22: Incontinence Appliances,98.35768
MANCHESTER CCG,21: Appliances,138.87948,,MANCHESTER CCG,23: Stoma Appliances,43.14188,,MANCHESTER CCG,22: Incontinence Appliances,47.14838,,,,MANCHESTER CCG,21: Appliances,10.97518,,MANCHESTER CCG,23: Stoma Appliances,385.38327,,22: Incontinence Appliances,13.98989
MANCHESTER CCG,21: Appliances,17.26233,,MANCHESTER CCG,23: Stoma Appliances,336.17387,,MANCHESTER CCG,22: Incontinence Appliances,40.52046,,,,MANCHESTER CCG,21: Appliances,87.29244,,MANCHESTER CCG,23: Stoma Appliances,15.08896,,22: Incontinence Appliances,9.2024
MANCHESTER CCG,21: Appliances,647.12819,,MANCHESTER CCG,23: Stoma Appliances,86.65559,,MANCHESTER CCG,22: Incontinence Appliances,6.4513,,,,MANCHESTER CCG,21: Appliances,3.55179,,MANCHESTER CCG,23: Stoma Appliances,170.02093,,22: Incontinence Appliances,51.24659
MANCHESTER CCG,21: Appliances,140.55273,,MANCHESTER CCG,23: Stoma Appliances,1271.38867,,MANCHESTER CCG,22: Incontinence Appliances,25.86096,,,,MANCHESTER CCG,21: Appliances,6.93164,,MANCHESTER CCG,23: Stoma Appliances,18.28372,,22: Incontinence Appliances,19.26171
MANCHESTER CCG,21: Appliances,10.04879,,MANCHESTER CCG,23: Stoma Appliances,114.24557,,MANCHESTER CCG,22: Incontinence Appliances,45.42865,,,,MANCHESTER CCG,21: Appliances,219.62817,,MANCHESTER CCG,23: Stoma Appliances,688.72729,,22: Incontinence Appliances,137.1419
MANCHESTER CCG,21: Appliances,5.58059,,MANCHESTER CCG,23: Stoma Appliances,96.16521,,MANCHESTER CCG,22: Incontinence Appliances,49.40726,,,,MANCHESTER CCG,21: Appliances,16.67546,,MANCHESTER CCG,23: Stoma Appliances,64.02563,,22: Incontinence Appliances,71.78434
MANCHESTER CCG,21: Appliances,20.04178,,MANCHESTER CCG,23: Stoma Appliances,22.45869,,MANCHESTER CCG,22: Incontinence Appliances,438.80896,,,,MANCHESTER CCG,21: Appliances,18.02608,,MANCHESTER CCG,23: Stoma Appliances,28.49206,,22: Incontinence Appliances,2.82219
MANCHESTER CCG,21: Appliances,120.53265,,MANCHESTER CCG,23: Stoma Appliances,190.32252,,MANCHESTER CCG,22: Incontinence Appliances,22.62601,,,,MANCHESTER CCG,21: Appliances,12.70762,,MANCHESTER CCG,23: Stoma Appliances,53.76141,,22: Incontinence Appliances,17.5479
MANCHESTER CCG,21: Appliances,42.33316,,MANCHESTER CCG,23: Stoma Appliances,24.62772,,MANCHESTER CCG,22: Incontinence Appliances,37.49002,,,,MANCHESTER CCG,21: Appliances,11.43775,,MANCHESTER CCG,23: Stoma Appliances,174.54762,,22: Incontinence Appliances,23.62075
MANCHESTER CCG,21: Appliances,56.45659,,MANCHESTER CCG,23: Stoma Appliances,33.9855,,MANCHESTER CCG,22: Incontinence Appliances,189.57886,,,,MANCHESTER CCG,21: Appliances,1.33501,,MANCHESTER CCG,23: Stoma Appliances,43.38542,,22: Incontinence Appliances,148.15125
MANCHESTER CCG,21: Appliances,3.61918,,MANCHESTER CCG,23: Stoma Appliances,33.38438,,MANCHESTER CCG,22: Incontinence Appliances,49.14698,,,,MANCHESTER CCG,21: Appliances,304.57349,,MANCHESTER CCG,23: Stoma Appliances,46.37527,,22: Incontinence Appliances,27.99841
MANCHESTER CCG,21: Appliances,60.2028,,MANCHESTER CCG,23: Stoma Appliances,66.40932,,MANCHESTER CCG,22: Incontinence Appliances,41.3292,,,,MANCHESTER CCG,21: Appliances,26.32312,,MANCHESTER CCG,23: Stoma Appliances,96.65319,,22: Incontinence Appliances,45.72328
